tag	count
yu yu hakusho	709
nige jouzu no wakagimi	707
queen's blade rebellion	705
nekomonogatari	704
strike witches: kurenai no majo-tachi	704
shikanoko nokonoko koshitantan	697
danganronpa another episode: ultra despair girls	694
kfc	694
yosuga no sora	694
voms	693
cardfight!! vanguard	692
arms (game)	691
pokemon tcg	689
saya no uta	686
gate - jieitai ka no chi nite kaku tatakaeri	685
final fight	684
wixoss	684
mitsudomoe (manga)	683
tales of xillia	683
sekiro: shadows die twice	681
bishoujo senshi sailor moon r	680
zero no kiseki	680
hataraku maou-sama!	678
steel ball run	677
tenka hyakken	677
world cup	676
super robot wars original generation	675
apple inc.	674
oshiete! galko-chan	673
perfect cherry blossom	673
free!	672
gravity daze	671
tiger & bunny	671
resident evil village	666
douluo dalu	664
deadpool (series)	662
donkey kong (series)	662
taimanin rpgx	659
top wo nerae! (series)	659
halo (series)	654
imperishable night	654
sen no kiseki iii	653
xenoblade chronicles 3: future redeemed	652
kakyuusei (series)	651
choujikuu yousai macross	649
frame arms girl	648
ishuzoku reviewers	647
koumajou densetsu	646
uchuu senkan yamato 2199	646
mononoke hime	644
egyptian mythology	642
tales of graces	642
charlotte (anime)	641
cthulhu mythos	641
drag-on dragoon 3	641
hinata channel	641
shin megami tensei v	640
tekken 7	638
gyee	636
the elder scrolls	636
yofukashi no uta	636
sega	635
comiket 100	633
silent hill (series)	632
nijisanji id	628
star ocean anamnesis	628
sora no otoshimono	627
grisaia (series)	626
nu carnival	625
sekaiju no meikyuu 5	625
fear & hunger 2: termina	623
pokemon usum	623
hades 1	622
pokemon legends: z-a	620
gensou suikoden	619
86 -eightysix-	617
aquarion (series)	617
bishoujo senshi sailor moon (first season)	616
mahou shoujo ikusei keikaku	616
mirai nikki	615
denpa onna to seishun otoko	614
turn a gundam	614
tenchi muyou!	612
accel world	611
animare	611
kakegurui	611
rewrite	610
crypton future media	609
kyoukai no kanata	609
nijiura maids	609
senjou no valkyria 1	608
evillious nendaiki	607
rune factory	606
sengoku bushouki muramasa	606
yu-gi-oh! zexal	606
curiosities of lotus asia	604
pixiv	603
ano natsu de matteru	602
virtuareal	602
ys	602
atelier sophie	601
cinderella girls gekijou	599
saint seiya	598
sen to chihiro no kamikakushi	598
high school dxd infinity	597
tsugumomo	596
new horizon	595
minami-ke	594
tekken 8	594
tonari no totoro	594
shino to ren	593
megido72	591
azure striker gunvolt	590
comiket 101	589
avengers (series)	588
fire emblem: thracia 776	588
vsinger (vocaloid)	588
inu x boku ss	587
ring fit adventure	586
kaze no tani no nausicaa	583
hyrule warriors	582
sound voltex	582
dragon ball super super hero	581
spongebob squarepants (series)	580
rou-kyuu-bu!	579
fate/extra ccc fox tail	578
idoly pride	578
zoids	578
mega man star force (series)	577
noripro	573
phantom blood	573
dissidia final fantasy	572
pixiv fantasia last saga	572
cosmic break	570
star fox	569
kiratto pri chan	568
the coffin of andy and leyley	566
senki zesshou symphogear xd unlimited	565
shoujo kageki revue starlight -re live-	565
cookie run: kingdom	564
gundam hathaway's flash	564
pokemon bw (anime)	562
shy (series)	561
sekaiju no meikyuu 3	560
bravely default (series)	559
star ocean till the end of time	559
tolkien's legendarium	559
full metal panic!	558
aquarion evol	557
mahouka koukou no rettousei	557
nagi no asukara	557
pikmin (series)	557
square enix	557
super mario bros. 1	557
fantastic four	555
mega man x dive	554
hentai ouji to warawanai neko.	553
jigokuraku	553
gravity falls	552
identity v	552
aldnoah.zero	551
hooters	551
persona dancing	551
iron saga	550
vampire (vocaloid)	550
re:creators	549
f-ism	547
stellar blade	547
tokimeki memorial	546
god eater burst	543
hollow knight	543
len'en	543
eizouken ni wa te wo dasu na!	542
live a hero	541
the elder scrolls v: skyrim	541
magic knight rayearth	540
maji de watashi ni koi shinasai!	539
black souls 2	538
rainbow six siege	538
sekaiju no meikyuu 1	538
world is mine (vocaloid)	538
elf-san wa yaserarenai.	537
akira (manga)	536
blue archive the animation	536
da capo	535
hololive grand theft auto	535
miku symphony (vocaloid)	535
summertime render	535
fortnite	534
mahou shoujo madoka magica movie 1 & 2	534
the witcher (series)	534
baka to test to shoukanjuu	533
bishoujo senshi sailor moon supers	533
pani poni dash!	532
utawarerumono: itsuwari no kamen	530
god eater 2: rage burst	529
atelier totori	528
getter robo	528
hidden star in four seasons	528
akuma no riddle	527
ao no kiseki	527
pixiv fantasia t	525
devil may cry 3	524
the owl house	524
breath of fire ii	523
mazinger (series)	523
wii fit	523
kodomo no jikan	522
marvel vs. capcom	522
muv-luv total eclipse	522
ore twintail ni narimasu	522
oboro muramasa	521
queen's gate	521
eiyuu senki	520
ookami (game)	520
evertale	519
kemono friends 2	519
dead or alive xtreme	518
yoru mac	518
makai senki disgaea 2	516
persona 4: the ultimate in mayonaka arena	516
suisei no gargantia	516
ace combat	515
monster hunter wilds	515
shugo chara!	515
liver city	514
gundam 0083	513
divine gate	512
dragon ball heroes	512
south park	512
metal gear rising: revengeance	511
calvin klein	510
tantei opera milky holmes	510
crisis core final fantasy vii	509
justice gakuen	508
learning with manga! fgo	508
bayonetta 2	506
snowbreak: containment zone	506
kimi kiss	505
pokemon unite	504
blue lock	502
rosario+vampire	502
school rumble	502
indie utaite	501
hokuto no ken	500
mountain of faith	500
record of lodoss war	499
splatoon 3: side order	499
super mario odyssey	498
tower of fantasy	498
the great ace attorney	496
magic: the gathering	494
amazon (company)	493
project kv	493
metal gear solid v: the phantom pain	491
soccer spirits	489
madou monogatari	488
metroid dread	488
tokyo mew mew	487
gj-bu	485
do it yourself!!	484
enjo kouhai	484
shinkai shoujo (vocaloid)	484
slam dunk (series)	484
niconico	483
toaru kagaku no railgun s	483
gundam build divers re:rise	482
time bokan (series)	482
dracu-riot!	481
valkyrie drive	481
dennou coil	480
kunoichi tsubaki no mune no uchi	479
resident evil 6	479
octopath traveler	478
resident evil 2	478
sonic the hedgehog (classic)	478
comic kairakuten	477
senran kagura estival versus	477
pepsi	476
ash arms	475
nikki (series)	475
undefined fantastic object	475
dragon quest x	474
sword art online alternative: gun gale online	473
red bull	472
fate/requiem	471
gosick	471
choukou (alicesoft)	470
cu-no	470
genshiken	470
king's raid	469
love hina	468
owarimonogatari	468
kage no jitsuryokusha ni naritakute!	467
kingdom hearts ii	467
mother 3	467
dumbbell nan kilo moteru?	465
instagram	465
palworld	465
ao no kanata no four rhythm	464
miru tights	464
log horizon	463
sd gundam	463
the end of evangelion	463
grisaia no kajitsu	462
school girl strikers	462
soredemo ayumu wa yosetekuru	461
tokyo revengers	461
hitsugi no chaika	460
mermaid melody pichi pichi pitch	460
futari wa precure splash star	459
type-moon	458
9-nine-	457
aika (series)	457
aikatsu friends!	457
doukyuusei	457
ojamajo doremi	457
qurare magic library	457
unconnected marketeers	456
cardcaptor sakura clear card arc	454
jigoku shoujo	454
bravely default: flying fairy	453
four goddesses online: cyber dimension neptune	453
ghost in the shell stand alone complex	453
juusan kihei bouei ken	453
yes! precure 5 gogo!	453
key (company)	451
kyoufuu all back (vocaloid)	451
modern mogal	451
urban legend in limbo	451
wily beast and weakest creature	451
assassin's creed (series)	449
chobits	449
gundam g no reconguista	447
resident evil 3: nemesis	447
shuffle!	447
jahy-sama wa kujikenai!	446
occultic;nine	445
tales of arise	445
aogiri koukou	444
idol corp	444
rinne no lagrange	444
shin sangoku musou	443
blazblue: central fiction	440
high school dxd pi	440
another	439
night sparrow love	439
battle spirits	438
greek mythology	438
